TIME,ID CON,ID MẸ,ID BỐ ,GT,GĐ,"SỐ LIỆU
BỐ","SỐ LIỆU
MẸ","SỐ LIỆU
CON"
36W,22222181022.0,22111241004.0,22111120075.0,1.0,1,4.7,5.0,
36W,22222181071.0,22111091049.0,22111120075.0,1.0,1,4.7,3.0,
36W,22222181030.0,22111421017.0,22111120075.0,1.0,1,4.7,4.0,
36W,22222181032.0,22111421017.0,22111120075.0,1.0,1,4.7,4.0,
36W,22222191013.0,22111051074.0,22111140065.0,1.0,1,4.7,7.0,
36W,22222191015.0,22111051074.0,22111140065.0,1.0,1,4.7,7.0,
36W,22222191042.0,22111491128.0,22111140065.0,1.0,1,4.7,6.0,
36W,22222191011.0,22111171069.0,22111140065.0,1.0,1,4.7,1.0,
36W,22222191052.0,22111361011.0,22111140065.0,1.0,1,4.7,4.0,
36W,22222191005.0,22111491128.0,22111140065.0,1.0,1,4.7,6.0,
36W,22222191067.0,22111491128.0,22111140065.0,1.0,1,4.7,6.0,
36W,22222191023.0,22111231168.0,22111140065.0,1.0,1,4.7,6.0,
36W,22222191040.0,22111091030.0,22111140065.0,1.0,1,4.7,5.0,
36W,22222201041.0,22111131006.0,22111150005.0,1.0,1,5.4,4.0,
36W,22222201049.0,22111491117.0,22111150005.0,1.0,1,5.4,6.0,
36W,22222201026.0,22111491117.0,22111150005.0,1.0,1,5.4,6.0,
36W,22222201017.0,22111491117.0,22111150005.0,1.0,1,5.4,6.0,
36W,22222201047.0,22111491117.0,22111150005.0,1.0,1,5.4,6.0,
36W,22222201044.0,22111291072.0,22111150005.0,1.0,1,5.4,7.0,
36W,22222201013.0,22111291072.0,22111150005.0,1.0,1,5.4,7.0,
36W,22222201031.0,22111291072.0,22111150005.0,1.0,1,5.4,7.0,
36W,22222211060.0,22111351084.0,22111150078.0,1.0,1,5.4,2.0,
36W,22222211051.0,22111351084.0,22111150078.0,1.0,1,5.4,2.0,
36W,22222211029.0,22111351084.0,22111150078.0,1.0,1,5.4,2.0,
36W,22222211067.0,22111351084.0,22111150078.0,1.0,1,5.4,2.0,
36W,22222211022.0,22111351084.0,22111150078.0,1.0,1,5.4,2.0,
36W,22222211065.0,22111231128.0,22111150078.0,1.0,1,5.4,,
36W,22222211012.0,22111231128.0,22111150078.0,1.0,1,5.4,,
36W,22222211061.0,22111231128.0,22111150078.0,1.0,1,5.4,,
36W,22222211042.0,22111491105.0,22111150078.0,1.0,1,5.4,4.0,
36W,22222211063.0,22111491105.0,22111150078.0,1.0,1,5.4,4.0,
36W,22222211020.0,22111171057.0,22111150078.0,1.0,1,5.4,7.0,
36W,22222211002.0,22111171057.0,22111150078.0,1.0,1,5.4,7.0,
36W,22222221005.0,22111081101.0,22111150104.0,1.0,1,5.4,5.0,
36W,22222221043.0,22111081101.0,22111150104.0,1.0,1,5.4,5.0,
36W,22222221020.0,22111081101.0,22111150104.0,1.0,1,5.4,5.0,
36W,22222221034.0,22111081101.0,22111150104.0,1.0,1,5.4,5.0,
36W,22222221055.0,22111231121.0,22111150104.0,1.0,1,5.4,1.0,
36W,22222221046.0,22111231121.0,22111150104.0,1.0,1,5.4,1.0,
36W,22222221002.0,22111231121.0,22111150104.0,1.0,1,5.4,1.0,
36W,22222221036.0,22111231121.0,22111150104.0,1.0,1,5.4,1.0,
36W,22222221073.0,22111231121.0,22111150104.0,1.0,1,5.4,1.0,
36W,22222231007.0,22111491086.0,22111160084.0,1.0,1,4.9,7.0,
36W,22222231028.0,22111351072.0,22111160084.0,1.0,1,4.9,7.0,
36W,22222231069.0,22111351072.0,22111160084.0,1.0,1,4.9,7.0,
36W,22222231019.0,22111351072.0,22111160084.0,1.0,1,4.9,7.0,
36W,22222231035.0,22111351072.0,22111160084.0,1.0,1,4.9,7.0,
36W,22222231064.0,22111351072.0,22111160084.0,1.0,1,4.9,7.0,
36W,22222231074.0,22111081100.0,22111160084.0,1.0,1,4.9,3.0,
36W,22222241008.0,22111491085.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241015.0,22111491085.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241056.0,22111051045.0,22111220063.0,1.0,1,2.2,4.0,
36W,22222241020.0,22111231108.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241040.0,22111231108.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241029.0,22111081094.0,22111220063.0,1.0,1,2.2,6.0,
36W,22222241050.0,22111081094.0,22111220063.0,1.0,1,2.2,6.0,
36W,22222241077.0,22111121084.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241073.0,22111121084.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241002.0,22111121084.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241071.0,22111121084.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241005.0,22111121084.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222241053.0,22111121084.0,22111220063.0,1.0,1,2.2,5.0,
36W,22222251041.0,22111491081.0,22111220040.0,1.0,1,2.2,6.0,
36W,22222251056.0,22111491081.0,22111220040.0,1.0,1,2.2,6.0,
36W,22222251023.0,22111231106.0,22111220040.0,1.0,1,2.2,1.0,
36W,22222251024.0,22111231106.0,22111220040.0,1.0,1,2.2,1.0,
36W,22222251058.0,22111231106.0,22111220040.0,1.0,1,2.2,1.0,
36W,22222251037.0,22111081092.0,22111220040.0,1.0,1,2.2,5.0,
36W,22222251060.0,22111081092.0,22111220040.0,1.0,1,2.2,5.0,
36W,22222251015.0,22111081092.0,22111220040.0,1.0,1,2.2,5.0,
36W,22222251034.0,22111351052.0,22111220040.0,1.0,1,2.2,5.0,
36W,22222261052.0,22111081085.0,22111230040.0,1.0,1,2.9,5.0,
36W,22222261010.0,22111081085.0,22111230040.0,1.0,1,2.9,5.0,
36W,22222261054.0,22111081085.0,22111230040.0,1.0,1,2.9,5.0,
36W,22222261039.0,22111081085.0,22111230040.0,1.0,1,2.9,5.0,
36W,22222261014.0,22111081085.0,22111230040.0,1.0,1,2.9,5.0,
36W,22222261024.0,22111291032.0,22111230040.0,1.0,1,2.9,5.0,
36W,22222261034.0,22111291032.0,22111230040.0,1.0,1,2.9,5.0,
36W,22222261041.0,22111161125.0,22111230040.0,1.0,1,2.9,7.0,
36W,22222261042.0,22111161125.0,22111230040.0,1.0,1,2.9,7.0,
36W,22222261030.0,22111161125.0,22111230040.0,1.0,1,2.9,7.0,
36W,22222261046.0,22111491075.0,22111230040.0,1.0,1,2.9,6.0,
36W,22222271069.0,22111351026.0,22111230138.0,1.0,1,2.9,5.0,
36W,22222271008.0,22111351026.0,22111230138.0,1.0,1,2.9,5.0,
36W,22222271034.0,22111351026.0,22111230138.0,1.0,1,2.9,5.0,
36W,22222271054.0,22111351026.0,22111230138.0,1.0,1,2.9,5.0,
36W,22222271039.0,22111351026.0,22111230138.0,1.0,1,2.9,5.0,
36W,22222271016.0,22111351026.0,22111230138.0,1.0,1,2.9,5.0,
36W,22222271025.0,22111351026.0,22111230138.0,1.0,1,2.9,5.0,
36W,22222271045.0,22111161116.0,22111230138.0,1.0,1,2.9,3.0,
36W,22222281037.0,22111081077.0,22111240040.0,1.0,1,6.0,4.0,
36W,22222281015.0,22111341055.0,22111240040.0,1.0,1,6.0,5.0,
36W,22222281031.0,22111161104.0,22111240040.0,1.0,1,6.0,3.0,
36W,22222281029.0,22111161104.0,22111240040.0,1.0,1,6.0,3.0,
36W,22222281041.0,22111161104.0,22111240040.0,1.0,1,6.0,3.0,
36W,22222281017.0,22111161104.0,22111240040.0,1.0,1,6.0,3.0,
36W,22222281027.0,22111051013.0,22111240040.0,1.0,1,6.0,2.0,
36W,22222291050.0,22111231053.0,22111260071.0,1.0,1,5.0,6.0,
36W,22222301038.0,22111081038.0,22111260110.0,1.0,1,5.0,6.0,
36W,22222301042.0,22111081038.0,22111260110.0,1.0,1,5.0,6.0,
36W,22222301002.0,22111051009.0,22111260110.0,1.0,1,5.0,4.0,
